time,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
30,val,1,2,14,14,0.5423398720634955,0.587584392910772,0.7300122552237622,ns
30,val,1,3,14,14,-0.5578352969795949,0.5769568575501798,0.7300122552237622,ns
30,val,1,4,14,14,-2.827915047188226,0.004685223784049984,0.035139178380374884,*
30,val,1,5,14,14,-0.41062876027664647,0.6813447715421781,0.7300122552237622,ns
30,val,1,6,14,14,-1.022698044462591,0.3064506362930824,0.5676766066412967,ns
30,val,2,3,14,14,-1.1001751690430903,0.2712558073309917,0.5676766066412967,ns
30,val,2,4,14,14,-3.370254919251722,7.509867538143999e-4,0.011264801307215999,*
30,val,2,5,14,14,-0.952968632340142,0.340605963984778,0.5676766066412967,ns
30,val,2,6,14,14,-1.5650379165260864,0.11757401907467019,0.29393504768667544,ns
30,val,3,4,14,14,-2.270079750208631,0.023202744724117375,0.08701029271544015,ns
30,val,3,5,14,14,0.14720653670294845,0.8829690012656253,0.8829690012656253,ns
30,val,3,6,14,14,-0.46486274748299605,0.6420297493642981,0.7300122552237622,ns
30,val,4,5,14,14,2.4172862869115797,0.0156367132694918,0.078183566347459,ns
30,val,4,6,14,14,1.8052170027256353,0.07104073130787426,0.2131221939236228,ns
30,val,5,6,14,14,-0.6120692841859445,0.5404919187063462,0.7300122552237622,ns
60,val,1,2,14,14,3.385750344167822,7.098393019320656e-4,0.0021295179057961968,**
60,val,1,3,14,14,0.19369281145124828,0.8464164208826896,0.8464164208826896,ns
60,val,1,4,14,14,-2.905392171768726,0.003667932059269763,0.006877372611130806,**
60,val,1,5,14,14,-1.0769320316689412,0.28151063166407897,0.3248199596123988,ns
60,val,1,6,14,14,2.8666536094784756,0.004148367858737355,0.006913946431228925,**
60,val,2,3,14,14,-3.1920575327165737,0.001412631922136542,0.0035315798053413548,**
60,val,2,4,14,14,-6.2911425159365475,3.151378396903499e-10,4.7270675953552485e-9,****
60,val,2,5,14,14,-4.4626823758367635,8.093998706076933e-6,4.046999353038467e-5,****
60,val,2,6,14,14,-0.5190967346893464,0.6036932852791272,0.6468142342276363,ns
60,val,3,4,14,14,-3.099084983219974,0.001941193301135889,0.004159699931005476,**
60,val,3,5,14,14,-1.2706248431201896,0.20386214453556048,0.2548276806694506,ns
60,val,3,6,14,14,2.672960798027227,0.007518503602143979,0.011277755403215968,*
60,val,4,5,14,14,1.8284601400997844,0.06748052262036994,0.09201889448232263,ns
60,val,4,6,14,14,5.7720457812472015,7.831483014929274e-9,5.8736122611969555e-8,****
60,val,5,6,14,14,3.943585641147417,8.027230668161301e-5,3.010211500560488e-4,***
90,val,1,2,14,14,3.8816039414830175,1.0376978179533779e-4,3.1130934538601337e-4,***
90,val,1,3,14,14,-0.7515281084308439,0.45233489100534097,0.48464452607715103,ns
90,val,1,4,14,14,-3.0216078586394755,0.0025143604472888026,0.004714425838666505,**
90,val,1,5,14,14,-1.1854000060816403,0.23585932933637088,0.27214538000350486,ns
90,val,1,6,14,14,2.285575175124731,0.022279123859188128,0.03480411708617606,*
90,val,2,3,14,14,-4.633132049913861,3.601746345453633e-6,1.3506548795451124e-5,****
90,val,2,4,14,14,-6.903211800122493,5.083974129323814e-12,7.625961193985721e-11,****
90,val,2,5,14,14,-5.067003947564658,4.041259054002964e-7,2.020629527001482e-6,****
90,val,2,6,14,14,-1.5960287663582868,0.11048237098848863,0.1381029637356108,ns
90,val,3,4,14,14,-2.270079750208631,0.023202744724117375,0.03480411708617606,*
90,val,3,5,14,14,-0.4338718976507964,0.6643814678867604,0.6643814678867604,ns
90,val,3,6,14,14,3.0371032835555747,0.0023886359534195712,0.004714425838666505,**
90,val,4,5,14,14,1.836207852557835,0.06632692175275218,0.0904458023901166,ns
90,val,4,6,14,14,5.307183033764206,1.1133237034088869e-7,8.349927775566652e-7,****
90,val,5,6,14,14,3.4709751812063714,5.185719269712522e-4,0.0012964298174281304,**
120,val,1,2,14,14,3.3392471644495845,8.400578362932034e-4,0.0031502168860995127,**
120,val,1,3,14,14,-1.9214229623747026,0.05467840595459544,0.08201760893189315,ns
120,val,1,4,14,14,-2.998349542092782,0.0027144614921685273,0.005816703197503987,**
120,val,1,5,14,14,-0.960711481187351,0.33669725679523876,0.3607470608520415,ns
120,val,1,6,14,14,0.26342089000298363,0.7922261911262485,0.7922261911262485,ns
120,val,2,3,14,14,-5.260670126824287,1.4353133217695252e-7,1.0764849913271439e-6,****
120,val,2,4,14,14,-6.3375967065423655,2.3337672913925833e-10,3.500650937088875e-9,****
120,val,2,5,14,14,-4.299958645636935,1.7082998422412875e-5,8.541499211206437e-5,****
120,val,2,6,14,14,-3.0758262744466007,0.002099201154842983,0.005248002887107457,**
120,val,3,4,14,14,-1.0769265797180791,0.28151306750923644,0.3518913343865455,ns
120,val,3,5,14,14,0.9607114811873517,0.3366972567952384,0.3607470608520415,ns
120,val,3,6,14,14,2.184843852377686,0.028900297493755386,0.05418805780079135,ns
120,val,4,5,14,14,2.0376380609054308,0.04158614273026916,0.06931023788378193,ns
120,val,4,6,14,14,3.2617704320957652,0.001107187681917256,0.0033215630457517683,**
120,val,5,6,14,14,1.2241323711903345,0.2209022961512637,0.3012304038426323,ns
