time,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
30,val,1,2,14,14,3.075841845845824,0.0020990915345851058,0.007871593254694147,**
30,val,1,3,14,14,3.362507206793672,7.72381099598575e-4,0.003861905497992875,**
30,val,1,4,14,14,3.9513333536054676,7.77169807291659e-5,0.0011657547109374885,**
30,val,1,5,14,14,1.7122444532290357,0.08685162844219102,0.18541726269152634,ns
30,val,1,6,14,14,3.7034065549478687,2.1272356027176754e-4,0.0015954267020382566,**
30,val,2,3,14,14,0.28666536094784795,0.7743685628320405,0.8041910447653363,ns
30,val,2,4,14,14,0.8754915077596432,0.3813065289296735,0.5719597933945102,ns
30,val,2,5,14,14,-1.3635973926167884,0.17269431318791081,0.2878238553131847,ns
30,val,2,6,14,14,0.6275647091020446,0.5302891334710051,0.6949723800954601,ns
30,val,3,4,14,14,0.5888261468117953,0.5559779040763682,0.6949723800954601,ns
30,val,3,5,14,14,-1.6502627535646364,0.09888920676881405,0.18541726269152634,ns
30,val,3,6,14,14,0.3408993481541967,0.7331793555538839,0.8041910447653363,ns
30,val,4,5,14,14,-2.239088900376432,0.02515013233397709,0.07545039700193128,ns
30,val,4,6,14,14,-0.2479267986575986,0.8041910447653363,0.8041910447653363,ns
30,val,5,6,14,14,1.9911621017188332,0.0464630688630395,0.11615767215759874,ns
60,val,1,2,14,14,3.184309820258523,0.0014509962053978556,0.004591863176038778,**
60,val,1,3,14,14,3.168814395342424,0.0015306210586795927,0.004591863176038778,**
60,val,1,4,14,14,5.214210484267606,1.8460176589717705e-7,2.7690264884576557e-6,****
60,val,1,5,14,14,1.8439555650158848,0.06518961621619777,0.12223053040537082,ns
60,val,1,6,14,14,3.5097137434966204,4.4858935018690866e-4,0.003364420126401815,**
60,val,2,3,14,14,-0.015495424916099431,0.9876369344438998,0.9876369344438998,ns
60,val,2,4,14,14,2.0299006640090833,0.04236663758869982,0.09078565197578532,ns
60,val,2,5,14,14,-1.3403542552426386,0.1801302003021075,0.23152247243750718,ns
60,val,2,6,14,14,0.3254039232380973,0.74487538663884445,0.7980807713987619,ns
60,val,3,4,14,14,2.0453960889251825,0.04081582422878916,0.09078565197578532,ns
60,val,3,5,14,14,-1.3248588303265392,0.18521797795000575,0.23152247243750718,ns
60,val,3,6,14,14,0.3408993481541967,0.7331793555538839,0.7980807713987619,ns
60,val,4,5,14,14,-3.370254919251722,7.509867538143999e-4,0.003754933769072,**
60,val,4,6,14,14,-1.704496740770986,0.08828832443887526,0.14364238355966974,ns
60,val,5,6,14,14,1.6657581784807358,0.09576158903977983,0.14364238355966974,ns
90,val,1,2,14,14,2.641969948195028,0.008242536902091655,0.024727610706274966,*
90,val,1,3,14,14,3.385750344167822,7.098393019320656e-4,0.0053237947644904915,**
90,val,1,4,14,14,4.974031398068059,6.557468091162913e-7,9.836202136744368e-6,****
90,val,1,5,14,14,3.075841845845824,0.0020990915345851058,0.01049545767292553,*
90,val,1,6,14,14,2.703951647859428,0.006852025897251537,0.024727610706274966,*
90,val,2,3,14,14,0.7437803959727942,0.45700934207222776,0.6754994301212218,ns
90,val,2,4,14,14,2.3320614498730308,0.019697458688578317,0.049243646721445794,*
90,val,2,5,14,14,0.4338718976507964,0.6643814678867604,0.8106755786161169,ns
90,val,2,6,14,14,0.061981699664400036,0.9505774055292399,0.9505774055292399,ns
90,val,3,4,14,14,1.5882810539002363,0.11222279973798158,0.18703799956330264,ns
90,val,3,5,14,14,-0.30990849832199785,0.7566305400417092,0.8106755786161169,ns
90,val,3,6,14,14,-0.6817986963083942,0.4953662487555627,0.6754994301212218,ns
90,val,4,5,14,14,-1.8981895522222343,0.0576711166165709,0.10813334365607044,ns
90,val,4,6,14,14,-2.2700797502086307,0.023202744724117395,0.04972016726596585,*
90,val,5,6,14,14,-0.3718901979863964,0.7099746034479062,0.8106755786161169,ns
120,val,1,2,14,14,1.8129555370793569,0.06983867934908615,0.11025020858972776,ns
120,val,1,3,14,14,3.6181634009233314,2.967010587673163e-4,0.0014835052938365813,**
120,val,1,4,14,14,4.106266814752389,4.0210498994180655e-5,6.031574849127098e-4,***
120,val,1,5,14,14,3.796359885337114,1.4683629170221698e-4,0.0011012721877666273,**
120,val,1,6,14,14,2.0066473679639034,0.04478722386466591,0.10140488961386894,ns
120,val,2,3,14,14,1.8052078638439741,0.07104216084500084,0.11025020858972776,ns
120,val,2,4,14,14,2.293311277673032,0.02183009041371975,0.08186283905144906,ns
120,val,2,5,14,14,1.9834043482577575,0.04732228181980551,0.10140488961386894,ns
120,val,2,6,14,14,0.19369183088454653,0.8464171887223696,0.8585686705705591,ns
120,val,3,4,14,14,0.4881034138290575,0.6254765931325504,0.7818457414156881,ns
120,val,3,5,14,14,0.17819648441378322,0.8585686705705591,0.8585686705705591,ns
120,val,3,6,14,14,-1.6115160329594276,0.10706729555997857,0.14600085758178896,ns
120,val,4,5,14,14,-0.30990692941527426,0.7566317331552059,0.8585686705705591,ns
120,val,4,6,14,14,-2.099619446788485,0.035762330702245465,0.10140488961386894,ns
120,val,5,6,14,14,-1.789712517373211,0.0735001390598185,0.11025020858972776,ns
