time,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
30,val,1,2,14,14,-3.5639657734043064,3.6529360763403265e-4,0.00547940411451049,**
30,val,1,3,14,14,-2.9441456388992093,0.0032384756632508976,0.016192378316254488,*
30,val,1,4,14,14,-2.723334715981768,0.006462654439388991,0.024234954147708716,*
30,val,1,5,14,14,-1.2125231381255956,0.22531219099208977,0.37552031832014965,ns
30,val,1,6,14,14,-3.223064699426503,0.0012682690345817537,0.009512017759363153,**
30,val,2,3,14,14,0.6198201345050964,0.5353762112123782,0.7300584698350612,ns
30,val,2,4,14,14,0.8406310574225377,0.40055465422194286,0.6008319813329143,ns
30,val,2,5,14,14,2.35144263527871,0.018700772905728042,0.05610231871718413,ns
30,val,2,6,14,14,0.3409010739778031,0.7331780562786976,0.825239658240553,ns
30,val,3,4,14,14,0.22081092291744134,0.825239658240553,0.825239658240553,ns
30,val,3,5,14,14,1.731622500773614,0.08334079731450363,0.1785874228167935,ns
30,val,3,6,14,14,-0.27891906052729326,0.7803069406066709,0.825239658240553,ns
30,val,4,5,14,14,1.5108115778561726,0.13083646404445878,0.24531837008336022,ns
30,val,4,6,14,14,-0.4997299834447346,0.6172652172181183,0.7715815215226479,ns
30,val,5,6,14,14,-2.010541561300907,0.044373902035155795,0.11093475508788948,ns
60,val,1,2,14,14,-5.655801461828762,1.5512069814058304e-8,2.3268104721087457e-7,****
60,val,1,3,14,14,-3.4167238968034033,6.33795231276389e-4,0.001901385693829167,**
60,val,1,4,14,14,-2.6109658803236893,0.009028690121587394,0.019347193117687272,*
60,val,1,5,14,14,-0.898730095304297,0.368796442669542,0.4255343569263946,ns
60,val,1,6,14,14,-5.175445721235087,2.2736752573680773e-7,1.705256443026058e-6,****
60,val,2,3,14,14,2.239077565025359,0.025150869743441696,0.03772630461516255,*
60,val,2,4,14,14,3.044835581505073,0.0023280754438958795,0.005820188609739698,**
60,val,2,5,14,14,4.757071366524466,1.964217429490537e-6,9.821087147452684e-6,****
60,val,2,6,14,14,0.48035574059367586,0.6309744599277287,0.6309744599277287,ns
60,val,3,4,14,14,0.8057580164797142,0.420382390005169,0.4504097035769668,ns
60,val,3,5,14,14,2.5179938014991063,0.0118025398113306,0.019670899685551003,*
60,val,3,6,14,14,-1.7587218244316831,0.07862476860971764,0.10721559355870586,ns
60,val,4,5,14,14,1.712235785019392,0.08685322522011915,0.10856653152514895,ns
60,val,4,6,14,14,-2.5644798409113974,0.010333058166120375,0.019374484061475704,*
60,val,5,6,14,14,-4.27671562593079,1.8967083800782546e-5,7.112656425293455e-5,****
90,val,1,2,14,14,-6.996255187371397,2.6289451574200533e-12,3.94341773613008e-11,****
90,val,1,3,14,14,-3.114611943879625,0.0018418705099610942,0.0039468653784880585,**
90,val,1,4,14,14,-3.0177645575649605,0.002546466615806849,0.004774624904637842,**
90,val,1,5,14,14,-1.9098304581251935,0.05615504627409002,0.07019380784261253,ns
90,val,1,6,14,14,-5.043811879267751,4.5634797731274293e-7,2.2817398865637146e-6,****
90,val,2,3,14,14,3.8816432434917725,1.0375300932786237e-4,3.112590279835871e-4,***
90,val,2,4,14,14,3.9784906298064366,6.935414402638393e-5,2.6007804009893975e-4,***
90,val,2,5,14,14,5.086424729246203,3.648764346849473e-7,2.2817398865637146e-6,****
90,val,2,6,14,14,1.9524433081036456,0.05088559551822998,0.07019380784261253,ns
90,val,3,4,14,14,0.09684738631466452,0.9228475919377048,0.9228475919377048,ns
90,val,3,5,14,14,1.204781485754432,0.22828766912208923,0.263408848987026,ns
90,val,3,6,14,14,-1.9291999353881264,0.05370604620405647,0.07019380784261253,ns
90,val,4,5,14,14,1.1079340994397673,0.26789027762165174,0.2870252974517697,ns
90,val,4,6,14,14,-2.026047321702791,0.042759935550618876,0.07019380784261253,ns
90,val,5,6,14,14,-3.133981421142558,0.001724517744433483,0.0039468653784880585,**
120,val,1,2,14,14,-6.349314646789435,2.1627627480506815e-10,3.244144122076022e-9,****
120,val,1,3,14,14,-3.1998376438365304,0.0013750502197896264,0.0040890745304938,**
120,val,1,4,14,14,-2.591636057780434,0.009552076230341152,0.015920127050568587,*
120,val,1,5,14,14,-3.3392978801296476,8.399044700860046e-4,0.0031496417628225173,**
120,val,1,6,14,14,-2.789204725862351,0.005283765287863013,0.00990705991474315,**
120,val,2,3,14,14,3.1494770029529042,0.0016356298121975197,0.0040890745304938,**
120,val,2,4,14,14,3.757678589009001,1.714969647614574e-4,0.0012862272357109304,**
120,val,2,5,14,14,3.010016766659787,0.0026123326860247056,0.005597855755767226,**
120,val,2,6,14,14,3.5601099209270837,3.706995915499751e-4,0.0018534979577498757,**
120,val,3,4,14,14,0.6082015860560964,0.5430537828204745,0.7278193523080801,ns
120,val,3,5,14,14,-0.13946023629311743,0.8890864756654513,0.8890864756654513,ns
120,val,3,6,14,14,0.41063291797417933,0.6813417223971041,0.7861635258428123,ns
120,val,4,5,14,14,-0.7476618223492139,0.45466416457398134,0.681996246860972,ns
120,val,4,6,14,14,-0.19756866808191706,0.8433825508090202,0.8890864756654513,ns
120,val,5,6,14,14,0.5500931542672968,0.5822554818464641,0.7278193523080801,ns
