time,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
30,val,1,2,14,14,4.2926238866469415,1.7657397017006202e-5,1.324304776275465e-4,***
30,val,1,3,14,14,3.7114924940503347,2.0604077873323038e-4,0.0010302038936661519,**
30,val,1,4,14,14,3.1613547757255462,0.0015703710268763294,0.005888891350786235,**
30,val,1,5,14,14,1.8712430841610768,0.06131139548505683,0.123246804280137,ns
30,val,1,6,14,14,4.350737025906604,1.3568069831449884e-5,1.324304776275465e-4,***
30,val,2,3,14,14,-0.5811313925966074,0.5611519024527565,0.6238124119798878,ns
30,val,2,4,14,14,-1.1312691109213957,0.2579418412240148,0.3517388743963838,ns
30,val,2,5,14,14,-2.421380802485865,0.015461670852097058,0.03865417713024265,*
30,val,2,6,14,14,0.05811313925966143,0.9536585084656941,0.9536585084656941,ns
30,val,3,4,14,14,-0.5501377183247884,0.5822249178478953,0.6238124119798878,ns
30,val,3,5,14,14,-1.840249409889258,0.0657316289494064,0.123246804280137,ns
30,val,3,6,14,14,0.6392445318562688,0.5226638664636383,0.6238124119798878,ns
30,val,4,5,14,14,-1.2901116915644695,0.19701188108005185,0.3283531351334198,ns
30,val,4,6,14,14,1.1893822501810571,0.23428928230203477,0.35143392345305213,ns
30,val,5,6,14,14,2.4794939417455266,0.013156896512978584,0.03865417713024265,*
60,val,1,2,14,14,6.163492480125337,7.11577594079705e-10,1.0673663911195574e-8,****
60,val,1,3,14,14,3.502072408569016,4.6165413702350683e-4,0.0013849624110705205,**
60,val,1,4,14,14,2.8783626101402424,0.00399745361369068,0.007495225525670024,**
60,val,1,5,14,14,1.2590415185674009,0.20801533588331753,0.24001769524998173,ns
60,val,1,6,14,14,5.884566359088867,3.9909899000346655e-9,2.993242425025999e-8,****
60,val,2,3,14,14,-2.661420071556321,0.007781181263656919,0.0129686354394282,*
60,val,2,4,14,14,-3.2851298699850946,0.001019353745099829,0.0025483843627495725,**
60,val,2,5,14,14,-4.904450961557936,9.368902309179696e-7,4.684451154589849e-6,****
60,val,2,6,14,14,-0.2789261210364701,0.7803015220639329,0.7803015220639329,ns
60,val,3,4,14,14,-0.6237097984287739,0.5328181869631836,0.5708766288891253,ns
60,val,3,5,14,14,-2.243030890001615,0.024894822617996904,0.033947485388177594,*
60,val,3,6,14,14,2.3824939505198506,0.017195814514035245,0.025793721771052866,*
60,val,4,5,14,14,-1.6193210915728413,0.10537819490424928,0.1317227436303116,ns
60,val,4,6,14,14,3.0062037489486246,0.002645316800514477,0.005668536001102451,**
60,val,5,6,14,14,4.625524840521465,3.7365101894544473e-6,1.4011913210454178e-5,****
90,val,1,2,14,14,6.919197642696889,4.5420880520927635e-12,6.813132078139145e-11,****
90,val,1,3,14,14,2.8862274601395197,0.003898902642342363,0.00835479137644792,**
90,val,1,4,14,14,2.6227865644489325,0.008721388950335777,0.014535648250559629,*
90,val,1,5,14,14,2.099778903886737,0.0357482948455613,0.04874767478940177,*
90,val,1,6,14,14,5.276566175449699,1.3162699426212194e-7,9.872024569659145e-7,****
90,val,2,3,14,14,-4.032970182557369,5.507627032676777e-5,1.6522881098030332e-4,***
90,val,2,4,14,14,-4.296411078247956,1.7358555267330148e-5,6.509458225248806e-5,****
90,val,2,5,14,14,-4.819418738810151,1.4397708084291937e-6,7.198854042145968e-6,****
90,val,2,6,14,14,-1.6426314672471898,0.10045920606775842,0.12557400758469803,ns
90,val,3,4,14,14,-0.2634408956905872,0.7922107732544492,0.7922107732544492,ns
90,val,3,5,14,14,-0.7864485562527822,0.4316047462224958,0.498005476410572,ns
90,val,3,6,14,14,2.390338715310179,0.016832840620997252,0.025249260931495876,*
90,val,4,5,14,14,-0.5230076605621949,0.6009689223076802,0.6438952739010859,ns
90,val,4,6,14,14,2.653779611000766,0.007959579457976743,0.014535648250559629,*
90,val,5,6,14,14,3.176787271562961,0.00148916223706264,0.0037229055926566,**
120,val,1,2,14,14,6.4966871275116995,8.210797012294046e-11,1.231619551844107e-9,****
120,val,1,3,14,14,2.917117118077704,0.0035328309201185055,0.006624057975222198,**
120,val,1,4,14,14,2.4212459479396613,0.015467408367056004,0.02577901394509334,*
120,val,1,5,14,14,3.296768482714643,9.78040860728318e-4,0.002934122582184954,**
120,val,1,6,14,14,3.4633502039328916,5.334935504145465e-4,0.0020006008140545494,**
120,val,2,3,14,14,-3.5795700094339957,3.4416003934017634e-4,0.0017208001967008817,**
120,val,2,4,14,14,-4.075441179572039,4.592719062175928e-5,3.444539296631946e-4,***
120,val,2,5,14,14,-3.199918644797057,0.0013746638422889505,0.0034366596057223762,**
120,val,2,6,14,14,-3.0333369235788084,0.0024186539549747813,0.005182829903517388,**
120,val,3,4,14,14,-0.4958711701380425,0.6199853077845899,0.7153676628283729,ns
120,val,3,5,14,14,0.37965136463693894,0.7042042270249018,0.7545045289552519,ns
120,val,3,6,14,14,0.5462330858551876,0.584905725860784,0.7153676628283729,ns
120,val,4,5,14,14,0.8755225347749814,0.3812896543106062,0.5199404376962812,ns
120,val,4,6,14,14,1.04210425599323,0.29736334560325417,0.44604501840488125,ns
120,val,5,6,14,14,0.1665817212182486,0.8676991770774931,0.8676991770774931,ns
