groups,time,variable,statistic,p
1,0,val,0.9282662773616912,0.2884809763895944
1,30,val,0.9074022047362834,0.1444699396796729
1,60,val,0.9404828722031904,0.4245470390850864
1,90,val,0.9476885866368894,0.5254303736009792
1,120,val,0.9081574625999622,0.14816711988900808
2,0,val,0.8371760774250185,0.014942831089673064
2,30,val,0.8806626252244263,0.059392628842848606
2,60,val,0.8872304073915691,0.07374593050397855
2,90,val,0.7782866664571193,0.0027231646219275734
2,120,val,0.7931076445803433,0.0041067140308367256
3,0,val,0.9595152353334088,0.7151007115832037
3,30,val,0.69064307709903,2.9608304508567883e-4
3,60,val,0.8442957932553805,0.01859926072821714
3,90,val,0.9158445555500998,0.19153839401603165
3,120,val,0.8867027073235332,0.0724700626352631
4,0,val,0.9616611428679229,0.7503425421035768
4,30,val,0.8441634258288976,0.018523240058556472
4,60,val,0.8476736153061595,0.020655280301334743
4,90,val,0.9675063126769413,0.8416420984594493
4,120,val,0.5907533553224456,3.358855233263628e-5
5,0,val,0.9549326224692863,0.6395427277453521
5,30,val,0.88049793397866,0.05907245088329223
5,60,val,0.9195722415071945,0.2168000442678554
5,90,val,0.8769375069976141,0.05257248649109829
5,120,val,0.898983766666086,0.10901940192715259
6,0,val,0.45846235709039795,2.8463089711900664e-6
6,30,val,0.8442101537862798,0.01855003900887653
6,60,val,0.7258534379099941,6.936230346883444e-4
6,90,val,0.5904752916650122,3.3399861206599364e-5
6,120,val,0.8562914973678335,0.02706816197480556
