groups,time,variable,statistic,p
1,0,val,0.7237373594998711,6.580875298520607e-4
1,30,val,0.9884837185770504,0.9988301967505125
1,60,val,0.9564567135930095,0.6645695686439876
1,90,val,0.9750776609032512,0.936182373410808
1,120,val,0.8205626284192461,0.00906684632189459
2,0,val,0.8569402091782594,0.027629314173846623
2,30,val,0.5014816730590246,6.084424286100752e-6
2,60,val,0.48125186628435257,4.236848804581401e-6
2,90,val,0.7400382296907052,9.917326261550058e-4
2,120,val,0.8805153915847479,0.059106305230241636
3,0,val,0.9666808406979976,0.8294111613294038
3,30,val,0.596926011043284,3.8083953194988944e-5
3,60,val,0.8736080732016417,0.04716737991804146
3,90,val,0.9333261220144431,0.33950274698309935
3,120,val,0.8384831038102097,0.015552169610512081
4,0,val,0.9523742904912089,0.5981400786524519
4,30,val,0.9327051470871425,0.3328446780570578
4,60,val,0.6986472613734208,3.57751196499984e-4
4,90,val,0.8006234164022528,0.005080244425013489
4,120,val,0.8887402126432803,0.07752593671153107
5,0,val,0.8555195266277812,0.026416010522288938
5,30,val,0.849459301689125,0.021838144360763756
5,60,val,0.7261263101874776,6.983526151333883e-4
5,90,val,0.8361036353019434,0.014461775678652006
5,120,val,0.7538624609766515,0.0014173438260065697
6,0,val,0.48461695984111974,4.497110048449542e-6
6,30,val,0.5779249903781878,2.5957613930739294e-5
6,60,val,0.4761603641172546,3.873100215862621e-6
6,90,val,0.6951862338874455,3.295496159333816e-4
6,120,val,0.460590611015149,2.9527683094992137e-6
