groups,time,variable,statistic,p
1,0,val,0.7478977436496355,0.0012136591046202289
1,30,val,0.9382717495011352,0.39662661725909876
1,60,val,0.9516138024857521,0.5860312972423842
1,90,val,0.9277874204251808,0.2840248013594566
1,120,val,0.9445477746721962,0.47966162955305747
2,0,val,0.9259021273255083,0.26708101989108024
2,30,val,0.8621433995529703,0.03259894585570838
2,60,val,0.9384383360621205,0.39867882377741704
2,90,val,0.9758174126014898,0.9432681203741766
2,120,val,0.9188237748492091,0.21148410902816484
3,0,val,0.9307619935784092,0.31273472098843325
3,30,val,0.7982799793624469,0.004752657622712103
3,60,val,0.7524198653408455,0.0013649402407012866
3,90,val,0.8210587504245356,0.009201059182884616
3,120,val,0.9574067406423696,0.6802492136874411
4,0,val,0.9228711901813501,0.2417790833892887
4,30,val,0.8684714769280037,0.03993953410678128
4,60,val,0.7086803385507944,4.5509864500583436e-4
4,90,val,0.8870701516590032,0.073356031627176
4,120,val,0.8454990048735833,0.019305624922507172
5,0,val,0.9364313940632234,0.37451238952267224
5,30,val,0.9113018717758012,0.16459592553343916
5,60,val,0.9343068387134096,0.3502493609300757
5,90,val,0.9289753411893595,0.29519501838401074
5,120,val,0.929576121568646,0.30099282963090335
6,0,val,0.9450989865683015,0.4875010801075497
6,30,val,0.859004692167082,0.029498228735630492
6,60,val,0.9341519212636469,0.3485328537461555
6,90,val,0.9659445809232282,0.8182751688950493
6,120,val,0.9631904881063262,0.7750884375010845
