groups,time,variable,statistic,p
1,0,val,0.9804989284397118,0.9775937681975436
1,30,val,0.9066678135815585,0.1409630982296692
1,60,val,0.9032449930166606,0.12570945260157165
1,90,val,0.9135930526982946,0.17768583060474646
1,120,val,0.9420719332917131,0.44551667718877586
2,0,val,0.9607960735733493,0.7361889676071797
2,30,val,0.8417979305222895,0.017218777170053157
2,60,val,0.9011701221819004,0.11728244881016504
2,90,val,0.8485853639072252,0.021250530682245954
2,120,val,0.8173559469081257,0.008248089395970196
3,0,val,0.9168628750888869,0.19814282466800187
3,30,val,0.9182424697301895,0.20744168252713266
3,60,val,0.8915743554902337,0.08516995906104832
3,90,val,0.8980393275717541,0.10563504678944545
3,120,val,0.9789274595879403,0.9681184155567125
4,0,val,0.8550243402928922,0.02600642581986231
4,30,val,0.8745206055391407,0.04858846684931498
4,60,val,0.8370611458462573,0.014890474535561693
4,90,val,0.9446419365338721,0.4809948132106789
4,120,val,0.9675057204906193,0.8416334273398963
5,0,val,0.9117572127644242,0.1671196031973565
5,30,val,0.8928136958108936,0.08875206855982662
5,60,val,0.9388573106864455,0.4038772658618077
5,90,val,0.9279030775974775,0.2850953618522287
5,120,val,0.8501773302892122,0.022333780594012292
6,0,val,0.9656225718289984,0.8133432423599021
6,30,val,0.9282439537775171,0.28827184357083396
6,60,val,0.5956270176579594,3.708719796833036e-5
6,90,val,0.6172954027556965,5.808827445557585e-5
6,120,val,0.9197965061847496,0.21841753312842116
