groups,time,variable,statistic,p
1,0,val,0.9023798455686745,0.12212386458052903
1,30,val,0.928996311408983,0.29539569840710256
1,60,val,0.9316757002648381,0.3220549429623626
1,90,val,0.8303948809033801,0.012163251111095872
1,120,val,0.6436838437428216,1.0224586327163615e-4
2,0,val,0.8106933429256634,0.006788091167967609
2,30,val,0.6637568018841867,1.595691432926648e-4
2,60,val,0.8932093579236372,0.08992791692337307
2,90,val,0.9202682069476673,0.2218571983828101
2,120,val,0.8473803263747777,0.020467571491215607
3,0,val,0.8074941823003638,0.006187299700381238
3,30,val,0.7070318424990455,4.373333187804067e-4
3,60,val,0.7901986549035205,0.0037851578390861434
3,90,val,0.8163203814951651,0.008000789939903942
3,120,val,0.965465117343497,0.810918838350269
4,0,val,0.9223983007016708,0.2380389528147384
4,30,val,0.8621071399667376,0.03256122931260369
4,60,val,0.8653368041272196,0.03610771851673502
4,90,val,0.46440463544172805,3.1543009948595394e-6
4,120,val,0.6818709168008531,2.4130636043969276e-4
5,0,val,0.8955504689210618,0.09721931219445834
5,30,val,0.4352379492441102,1.9171659517764767e-6
5,60,val,0.8137625455272641,0.007423170423046037
5,90,val,0.6258589350319714,6.962295790245498e-5
5,120,val,0.6638222128911164,1.5980431187261887e-4
6,0,val,0.9902914837970656,0.9996369429798223
6,30,val,0.815503741809362,0.007811340563460013
6,60,val,0.9433596645085746,0.46305556516392654
6,90,val,0.9038687109797,0.12836002095833346
6,120,val,0.8789279847315333,0.056108904229930964
