groups,time,variable,statistic,p
1,0,val,0.8479844491366666,0.020856207222585927
1,30,val,0.9214413198694579,0.23063581188118293
1,60,val,0.850143736222387,0.022310328317023658
1,90,val,0.8487414862455331,0.02135426406897295
1,120,val,0.8580841968625519,0.02864898662084591
2,0,val,0.9106454636247336,0.16102382635681523
2,30,val,0.9378645142307198,0.3916450988976826
2,60,val,0.6510585720527432,1.202227391074352e-4
2,90,val,0.874685218187683,0.04884954370558723
2,120,val,0.5827130766025221,2.8563775921662968e-5
3,0,val,0.9791855044806094,0.969815509401516
3,30,val,0.8437470507920625,0.01828624724197885
3,60,val,0.6956410071305762,3.3311567632564413e-4
3,90,val,0.7202140497358744,6.031662368477724e-4
3,120,val,0.6968060278196894,3.424405400057097e-4
4,0,val,0.9144262441220432,0.182694427057631
4,30,val,0.9177733738485806,0.2042337062158689
4,60,val,0.8271646077637888,0.011037457934359104
4,90,val,0.9564354057763333,0.6642184306881904
4,120,val,0.9756422153351026,0.9416297604466904
5,0,val,0.8220100598407087,0.0094643589088137
5,30,val,0.8354407325582731,0.014172662696176933
5,60,val,0.8948035586831041,0.09482960849292205
5,90,val,0.7985921700259543,0.004794966500538173
5,120,val,0.7519442638351231,0.0013481205099991314
6,0,val,0.6377778093488626,8.992192019301233e-5
6,30,val,0.4964635297053075,5.5575657027158295e-6
6,60,val,0.4493753089336393,2.4356335783751687e-6
6,90,val,0.7730261766035599,0.002360033322056345
6,120,val,0.9177137088442444,0.2038291122458284
