groups,time,variable,statistic,p
1,0,val,0.7952128998380134,0.0043575486955677555
1,30,val,0.9598754104271332,0.7210425390908515
1,60,val,0.9429451117773874,0.4573566595408679
1,90,val,0.8397665476583176,0.016176210748563367
1,120,val,0.7765520617520648,0.0025972382669224173
2,0,val,0.8420431239977594,0.017349353068536067
2,30,val,0.7820810066314872,0.0030219219996451985
2,60,val,0.952981691936782,0.6078830123075557
2,90,val,0.968799730350749,0.8601952928610217
2,120,val,0.9034970477242141,0.1267738969316141
3,0,val,0.8001049610847097,0.0050057502465152
3,30,val,0.6131547475723256,5.325917254657909e-5
3,60,val,0.8049503031588526,0.005750055145599832
3,90,val,0.8285849869589895,0.01151820150281482
3,120,val,0.952641200380783,0.6024139113917933
4,0,val,0.9493738503405398,0.5510268205015101
4,30,val,0.8524903671649091,0.024012872255125765
4,60,val,0.9233568668422469,0.24567756280892344
4,90,val,0.962798396675253,0.7687846477157743
4,120,val,0.7211181982379408,6.16776193497558e-4
5,0,val,0.6514174184777015,1.2117949939405439e-4
5,30,val,0.6744867120336155,2.035791229482333e-4
5,60,val,0.9233997800779742,0.24602483193282526
5,90,val,0.8297672429474486,0.011935317241336809
5,120,val,0.8779782705998637,0.0543916509192338
6,0,val,0.8130017595219516,0.007260062297170073
6,30,val,0.7467672180755932,0.0011787086176944757
6,60,val,0.9452637281879066,0.48986043589272743
6,90,val,0.9072369882131721,0.14367349329835652
6,120,val,0.9246627392514646,0.25645208119415236
