groups,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
2,val,0,30,14,14,-1.897138279672163,0.0578096901705017,0.578096901705017,ns
2,val,0,60,14,14,-4.454555078249833,8.406734634690275e-6,8.406734634690274e-5,****
2,val,0,90,14,14,-5.347326033389676,8.926313881635567e-8,8.926313881635567e-7,****
2,val,0,120,14,14,-4.435955683351088,9.166470589897957e-6,9.166470589897956e-5,****
2,val,30,60,14,14,-2.557416798577671,0.010545278111711218,0.10545278111711218,ns
2,val,30,90,14,14,-3.4501877537175125,5.601967975344244e-4,0.005601967975344244,**
2,val,30,120,14,14,-2.5388174036789244,0.011122785806106657,0.11122785806106657,ns
2,val,60,90,14,14,-0.8927709551398416,0.3719798434595386,1,ns
2,val,60,120,14,14,0.018599394898746634,0.9851606855541473,1,ns
2,val,90,120,14,14,0.9113703500385882,0.3621002705887619,1,ns
3,val,0,30,14,14,-3.2052474878851314,0.0013494639457702626,0.013494639457702627,*
3,val,0,60,14,14,-4.115723585893082,3.8596663866357775e-5,3.8596663866357776e-4,***
3,val,0,90,14,14,-3.3538966467435722,7.968211928067021e-4,0.007968211928067022,**
3,val,0,120,14,14,-2.4945186970932114,0.012612808143284904,0.12612808143284904,ns
3,val,30,60,14,14,-0.9104760980079504,0.36257148147276985,1,ns
3,val,30,90,14,14,-0.14864915885844082,0.881830480737215,1,ns
3,val,30,120,14,14,0.7107287907919202,0.47725231496451775,1,ns
3,val,60,90,14,14,0.7618269391495096,0.4461632998704478,1,ns
3,val,60,120,14,14,1.6212048887998705,0.10497370465546801,1,ns
3,val,90,120,14,14,0.859377949650361,0.39013203107048544,1,ns
4,val,0,30,14,14,-1.6392406677627238,0.10116314730167755,1,ns
4,val,0,60,14,14,-5.400671095206936,6.639205482687838e-8,6.639205482687838e-7,****
4,val,0,90,14,14,-5.553914557065773,2.7934206306926832e-8,2.793420630692683e-7,****
4,val,0,120,14,14,-4.355829309805766,1.3256405152093796e-5,1.3256405152093796e-4,***
4,val,30,60,14,14,-3.7614304274442114,1.6894441555456244e-4,0.0016894441555456244,**
4,val,30,90,14,14,-3.9146738893030495,9.052647725426907e-5,9.052647725426907e-4,***
4,val,30,120,14,14,-2.7165886420430416,0.006595853004822698,0.06595853004822698,ns
4,val,60,90,14,14,-0.15324346185883805,0.8782062848068938,1,ns
4,val,60,120,14,14,1.0448417854011702,0.2960960989716329,1,ns
4,val,90,120,14,14,1.198085247260008,0.23088383153272457,1,ns
6,val,0,30,14,14,-1.5976846898280028,0.11011316776287629,1,ns
6,val,0,60,14,14,-5.355030370266533,8.554204791427845e-8,8.554204791427845e-7,****
6,val,0,90,14,14,-4.300744252269566,1.702254281803741e-5,1.702254281803741e-4,***
6,val,0,120,14,14,-2.0992833715181893,0.03579192837417792,0.35791928374177917,ns
6,val,30,60,14,14,-3.7573456804385303,1.7172520144009766e-4,0.0017172520144009766,**
6,val,30,90,14,14,-2.703059562441563,0.006870443363480727,0.06870443363480727,ns
6,val,30,120,14,14,-0.5015986816901866,0.6159498469293538,1,ns
6,val,60,90,14,14,1.0542861179969671,0.29175194243632235,1,ns
6,val,60,120,14,14,3.2557469987483434,0.0011309447883995224,0.011309447883995224,*
6,val,90,120,14,14,2.2014608807513762,0.0277034131453642,0.277034131453642,ns
