groups,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
2,val,0,30,14,14,0.6964819632156137,0.4861270490208082,1,ns
2,val,0,60,14,14,4.2996153195843885,1.710948294609698e-5,1.710948294609698e-4,***
2,val,0,90,14,14,5.599714984253533,2.1470451540428326e-8,2.1470451540428327e-7,****
2,val,0,120,14,14,3.6124197825449835,3.033529636495366e-4,0.003033529636495366,**
2,val,30,60,14,14,3.603133356368775,3.1440411920636663e-4,0.0031440411920636664,**
2,val,30,90,14,14,4.903233021037921,9.427204164642829e-7,9.42720416464283e-6,****
2,val,30,120,14,14,2.9159378193293697,0.0035462116834625787,0.03546211683462579,*
2,val,60,90,14,14,1.3000996646691456,0.19356681259600064,1,ns
2,val,60,120,14,14,-0.6871955370394054,0.4919595163823277,1,ns
2,val,90,120,14,14,-1.987295201708551,0.04688969309603754,0.46889693096037544,ns
4,val,0,30,14,14,-1.4022380848260243,0.1608441623759891,1,ns
4,val,0,60,14,14,-3.036634792967614,0.0023923511736451716,0.023923511736451717,*
4,val,0,90,14,14,-2.7487581000563113,0.005982151666891381,0.05982151666891381,ns
4,val,0,120,14,14,-2.0058505054464972,0.04487220025806224,0.4487220025806224,ns
4,val,30,60,14,14,-1.63439670814159,0.10217557901107158,1,ns
4,val,30,90,14,14,-1.346520015230287,0.1781348698882261,1,ns
4,val,30,120,14,14,-0.6036124206204732,0.5461013530555241,1,ns
4,val,60,90,14,14,0.28787669291130297,0.7734411283995888,1,ns
4,val,60,120,14,14,1.0307842875211168,0.3026419881275377,1,ns
4,val,90,120,14,14,0.7429075946098139,0.45753762737377934,1,ns
6,val,0,30,14,14,0.1485828188193313,0.8818828311024538,1,ns
6,val,0,60,14,14,4.70821807133755,2.498916840073434e-6,2.498916840073434e-5,****
6,val,0,90,14,14,4.076741091355392,4.567129817263516e-5,4.567129817263516e-4,***
6,val,0,120,14,14,0.8636376343873614,0.3877869833144584,1,ns
6,val,30,60,14,14,4.559635252518217,5.124254514008174e-6,5.124254514008174e-5,****
6,val,30,90,14,14,3.9281582725360606,8.559887245482802e-5,8.559887245482801e-4,***
6,val,30,120,14,14,0.7150548155680301,0.4745751725641742,1,ns
6,val,60,90,14,14,-0.6314769799821569,0.5277286963132826,1,ns
6,val,60,120,14,14,-3.8445804369501877,1.2075887069961672e-4,0.0012075887069961672,**
6,val,90,120,14,14,-3.213103456968031,0.0013130898136023193,0.013130898136023193,*
