groups,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
4,val,0,30,14,14,2.0522822301096104,0.04014224194526016,0.4014224194526016,ns
4,val,0,60,14,14,4.002414665960371,6.26992849320345e-5,6.26992849320345e-4,***
4,val,0,90,14,14,3.213075346687445,0.001313218339129686,0.01313218339129686,*
4,val,0,120,14,14,2.2937271983577996,0.02180617344940867,0.21806173449408672,ns
4,val,30,60,14,14,1.9501324358507612,0.05116033613018086,0.5116033613018086,ns
4,val,30,90,14,14,1.1607931165778342,0.24572604294715616,1,ns
4,val,30,120,14,14,0.2414449682481891,0.8092102638052434,1,ns
4,val,60,90,14,14,-0.7893393192729269,0.42991371154834684,1,ns
4,val,60,120,14,14,-1.708687467602572,0.08750885677240575,0.8750885677240574,ns
4,val,90,120,14,14,-0.9193481483296452,0.35791350119030446,1,ns
5,val,0,30,14,14,0.17644364101659524,0.8599454218642255,1,ns
5,val,0,60,14,14,0.7614936085979376,0.44636229495108604,1,ns
5,val,0,90,14,14,1.9873125882921772,0.046887767531646966,0.4688776753164697,ns
5,val,0,120,14,14,2.739519689468188,0.006152902925370512,0.06152902925370512,ns
5,val,30,60,14,14,0.5850499675813423,0.5585141191196978,1,ns
5,val,30,90,14,14,1.810868947275582,0.07016114041862473,0.7016114041862473,ns
5,val,30,120,14,14,2.5630760484515926,0.010374932085465924,0.10374932085465924,ns
5,val,60,90,14,14,1.2258189796942396,0.22026680320367836,1,ns
5,val,60,120,14,14,1.9780260808702503,0.047925764501872824,0.47925764501872825,ns
5,val,90,120,14,14,0.7522071011760109,0.4519265238605938,1,ns
6,val,0,30,14,14,2.730209295805205,0.006329412797317342,0.06329412797317342,ns
6,val,0,60,14,14,2.980942802562826,0.002873624595037863,0.02873624595037863,*
6,val,0,90,14,14,1.931576644651302,0.053411780839343385,0.5341178083934338,ns
6,val,0,120,14,14,1.2258082552594798,0.2202708398890205,1,ns
6,val,30,60,14,14,0.2507335067576212,0.8020201533385405,1,ns
6,val,30,90,14,14,-0.7986326511539031,0.42450344919434513,1,ns
6,val,30,120,14,14,-1.5044010405457253,0.13247813652322493,1,ns
6,val,60,90,14,14,-1.0493661579115243,0.29400962768040073,1,ns
6,val,60,120,14,14,-1.7551345473033464,0.07923629626214719,0.7923629626214719,ns
6,val,90,120,14,14,-0.7057683893918222,0.4803321830559576,1,ns
