groups,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
2,val,0,30,14,14,-1.2909826669438915,0.19670968793476443,1,ns
2,val,0,60,14,14,-4.46735728633102,7.919180708306905e-6,7.919180708306905e-5,****
2,val,0,90,14,14,-6.041613128395693,1.5258096694203998e-9,1.5258096694203998e-8,****
2,val,0,120,14,14,-4.3141111424132195,1.6024631946010794e-5,1.6024631946010795e-4,***
2,val,30,60,14,14,-3.1763746193871283,0.0014912823736383848,0.014912823736383848,*
2,val,30,90,14,14,-4.750630461451801,2.02783415105044e-6,2.0278341510504403e-5,****
2,val,30,120,14,14,-3.0231284754693277,0.0025017600782400048,0.02501760078240005,*
2,val,60,90,14,14,-1.574255842064673,0.11542831404538102,1,ns
2,val,60,120,14,14,0.1532461439178003,0.8782041698140444,1,ns
2,val,90,120,14,14,1.7275019859824734,0.08407754881858964,0.8407754881858964,ns
3,val,0,30,14,14,-2.238067869416113,0.02521662956913078,0.25216629569130783,ns
3,val,0,60,14,14,-3.120293793044871,0.0018067074465273635,0.018067074465273635,*
3,val,0,90,14,14,-2.2845008127649944,0.022342114877158994,0.22342114877158994,ns
3,val,0,120,14,14,-1.5972932512015408,0.11020035447102804,1,ns
3,val,30,60,14,14,-0.882225923628758,0.3776546457593113,1,ns
3,val,30,90,14,14,-0.04643294334888161,0.9629651798251214,1,ns
3,val,30,120,14,14,0.6407746182145719,0.52166912594503545,1,ns
3,val,60,90,14,14,0.8357929802798764,0.4032713762593524,1,ns
3,val,60,120,14,14,1.52300054184333,0.12775856986559117,1,ns
3,val,90,120,14,14,0.6872075615634535,0.491951940014566,1,ns
4,val,0,30,14,14,-1.5834049286539928,0.1133292003441192,1,ns
4,val,0,60,14,14,-3.2921820950606477,9.94132205871861e-4,0.00994132205871861,**
4,val,0,90,14,14,-2.3867159335136434,0.016999620906816386,0.16999620906816387,ns
4,val,0,120,14,14,-1.2815828748049916,0.19998901077452613,1,ns
4,val,30,60,14,14,-1.7087771664066547,0.08749223384321259,0.8749223384321259,ns
4,val,30,90,14,14,-0.8033110048596505,0.4217949987987413,1,ns
4,val,30,120,14,14,0.3018220538490013,0.7627877178958995,1,ns
4,val,60,90,14,14,0.9054661615470042,0.3652184787908133,1,ns
4,val,60,120,14,14,2.010599220255656,0.04436780649389018,0.44367806493890183,ns
4,val,90,120,14,14,1.1051330587086519,0.2691019378124597,1,ns
6,val,0,30,14,14,-2.187087308609807,0.028736150948630263,0.2873615094863026,ns
6,val,0,60,14,14,-6.1526341484246165,7.620646332153975e-10,7.620646332153975e-9,****
6,val,0,90,14,14,-5.581483959551992,2.3847505107691422e-8,2.3847505107691424e-7,****
6,val,0,120,14,14,-2.795385477246505,0.005183786441685991,0.051837864416859905,ns
6,val,30,60,14,14,-3.9655468398148104,7.32278698949682e-5,7.32278698949682e-4,***
6,val,30,90,14,14,-3.3943966509421855,6.877999469583261e-4,0.006877999469583261,**
6,val,30,120,14,14,-0.6082981686366983,0.5429897354424966,1,ns
6,val,60,90,14,14,0.5711501888726247,0.5678978399100902,1,ns
6,val,60,120,14,14,3.357248671178112,7.872227654596565e-4,0.007872227654596565,**
6,val,90,120,14,14,2.786098482305487,0.0053346661597196655,0.05334666159719666,ns
