groups,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
2,val,0,30,14,14,2.3128671517372936,0.020729944333926744,0.20729944333926745,ns
2,val,0,60,14,14,3.1415665158213035,0.0016804663288508275,0.016804663288508274,*
2,val,0,90,14,14,2.5188715134304935,0.011773160940487007,0.11773160940487007,ns
2,val,0,120,14,14,2.3035033171148758,0.021250540739074324,0.21250540739074325,ns
2,val,30,60,14,14,0.8286993640840098,0.4072745457083203,1,ns
2,val,30,90,14,14,0.20600436169319997,0.8367875042425592,1,ns
2,val,30,120,14,14,-0.009363834622417926,0.9925288501051666,1,ns
2,val,60,90,14,14,-0.6226950023908098,0.5334849674780795,1,ns
2,val,60,120,14,14,-0.8380631987064278,0.4019952101967613,1,ns
2,val,90,120,14,14,-0.2153681963156179,0.8294802638549399,1,ns
4,val,0,30,14,14,2.2742865460917674,0.022948763548739863,0.22948763548739864,ns
4,val,0,60,14,14,4.811358302341196,1.499079963225761e-6,1.4990799632257609e-5,****
4,val,0,90,14,14,5.680938452317459,1.339576799094592e-8,1.3395767990945918e-7,****
4,val,0,120,14,14,4.720577957014005,2.3517545205985637e-6,2.3517545205985636e-5,****
4,val,30,60,14,14,2.537071756249429,0.011178403911139062,0.11178403911139062,ns
4,val,30,90,14,14,3.406651906225693,6.576494262223961e-4,0.006576494262223961,**
4,val,30,120,14,14,2.446291410922237,0.01443342879918058,0.14433428799180578,ns
4,val,60,90,14,14,0.869580149976264,0.3845298894716605,1,ns
4,val,60,120,14,14,-0.0907803453271917,0.9276671277126854,1,ns
4,val,90,120,14,14,-0.9603604953034557,0.33687381312256176,1,ns
5,val,0,30,14,14,0.6956518189167784,0.48664690593767085,1,ns
5,val,0,60,14,14,-1.4618088897507986,0.14379358735761824,1,ns
5,val,0,90,14,14,-3.356049991260675,7.906427569302476e-4,0.007906427569302476,**
5,val,0,120,14,14,-3.7038759007190643,2.1233016117120574e-4,0.0021233016117120575,**
5,val,30,60,14,14,-2.157460708667577,0.030969785408091328,0.30969785408091327,ns
5,val,30,90,14,14,-4.051701810177454,5.084644184523221e-5,5.084644184523221e-4,***
5,val,30,120,14,14,-4.399527719635842,1.0848671989245196e-5,1.0848671989245196e-4,***
5,val,60,90,14,14,-1.8942411015098766,0.05819301484635505,0.5819301484635505,ns
5,val,60,120,14,14,-2.242067010968266,0.024957041698196233,0.24957041698196233,ns
5,val,90,120,14,14,-0.3478259094583892,0.7279709302713008,1,ns
6,val,0,30,14,14,0,1,1,ns
6,val,0,60,14,14,1.9874324932493053,0.04687448986736429,0.4687448986736429,ns
6,val,0,90,14,14,2.446791890273909,0.014413403588418722,0.14413403588418722,ns
6,val,0,120,14,14,0.08905947493334132,0.9290346436855804,1,ns
6,val,30,60,14,14,1.9874324932493053,0.04687448986736429,0.4687448986736429,ns
6,val,30,90,14,14,2.446791890273909,0.014413403588418722,0.14413403588418722,ns
6,val,30,120,14,14,0.08905947493334132,0.9290346436855804,1,ns
6,val,60,90,14,14,0.4593593970246036,0.6459761006005991,1,ns
6,val,60,120,14,14,-1.898373018315964,0.057646961345813465,0.5764696134581346,ns
6,val,90,120,14,14,-2.3577324153405677,0.018386941375705252,0.1838694137570525,ns
