groups,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
2,val,0,30,14,14,-1.1515369950522734,0.2495113846099952,1,ns
2,val,0,60,14,14,-4.081455720366728,4.4754504891397034e-5,4.4754504891397035e-4,***
2,val,0,90,14,14,-5.404794605809865,6.488269902523121e-8,6.488269902523122e-7,****
2,val,0,120,14,14,-3.524260400180144,4.2466668560610686e-4,0.004246666856061069,**
2,val,30,60,14,14,-2.929918725314455,0.0033905067038726283,0.03390506703872628,*
2,val,30,90,14,14,-4.253257610757592,2.10682968726277e-5,2.10682968726277e-4,***
2,val,30,120,14,14,-2.372723405127871,0.017657481217405072,0.17657481217405072,ns
2,val,60,90,14,14,-1.3233388854431372,0.18572270570222948,1,ns
2,val,60,120,14,14,0.5571953201865839,0.5773939867882734,1,ns
2,val,90,120,14,14,1.8805342056297212,0.060035309119790804,0.600353091197908,ns
3,val,0,30,14,14,-2.1730047142337052,0.029779962475333318,0.29779962475333316,ns
3,val,0,60,14,14,-3.630960868655465,2.823679991086681e-4,0.002823679991086681,**
3,val,0,90,14,14,-3.148070932159086,0.001643518068067632,0.01643518068067632,*
3,val,0,120,14,14,-2.7023263753931976,0.006885613594132731,0.0688561359413273,ns
3,val,30,60,14,14,-1.4579561544217596,0.14485262883136707,1,ns
3,val,30,90,14,14,-0.9750662179253806,0.3295274144501513,1,ns
3,val,30,120,14,14,-0.5293216611594921,0.5965823316680433,1,ns
3,val,60,90,14,14,0.48288993649637907,0.6291738876415941,1,ns
3,val,60,120,14,14,0.9286344932622677,0.35307853964348523,1,ns
3,val,90,120,14,14,0.44574455676588853,0.6557817751434969,1,ns
4,val,0,30,14,14,-1.9966340327482481,0.04586495301357698,0.4586495301357698,ns
4,val,0,60,14,14,-3.663591283345042,2.4870352615464076e-4,0.0024870352615464076,**
4,val,0,90,14,14,-3.8539680167001076,1.1621878387492433e-4,0.0011621878387492433,**
4,val,0,120,14,14,-2.3727441644985,0.017656488914051055,0.17656488914051055,ns
4,val,30,60,14,14,-1.6669572505967938,0.09552290562787352,0.9552290562787352,ns
4,val,30,90,14,14,-1.8573339839518594,0.06326365231227025,0.6326365231227026,ns
4,val,30,120,14,14,-0.3761101317502519,0.706835022359626,1,ns
4,val,60,90,14,14,-0.1903767333550657,0.8490139283465902,1,ns
4,val,60,120,14,14,1.2908471188465418,0.19675669531223455,1,ns
4,val,90,120,14,14,1.4812238522016077,0.13854693218326675,1,ns
5,val,0,30,14,14,-0.13465671383650965,0.8928832987440708,1,ns
5,val,0,60,14,14,-0.33432011711133436,0.7381380116679144,1,ns
5,val,0,90,14,14,-1.6390972408375153,0.10119300960396693,1,ns
5,val,0,120,14,14,-2.674560936890677,0.007482717614531911,0.07482717614531911,ns
5,val,30,60,14,14,-0.19966340327482474,0.841743837358234,1,ns
5,val,30,90,14,14,-1.5044405270010057,0.13246797584281975,1,ns
5,val,30,120,14,14,-2.539904223054167,0.011088282920874689,0.11088282920874688,ns
5,val,60,90,14,14,-1.304777123726181,0.19196875095128998,1,ns
5,val,60,120,14,14,-2.3402408197793427,0.01927130910963509,0.1927130910963509,ns
5,val,90,120,14,14,-1.0354636960531616,0.300452412303321,1,ns
6,val,0,30,14,14,-1.8712476169599443,0.06131076749524345,0.6131076749524346,ns
6,val,0,60,14,14,-5.400151311474977,6.658471189605013e-8,6.658471189605013e-7,****
6,val,0,90,14,14,-4.67115410089753,2.9951212797353492e-6,2.9951212797353494e-5,****
6,val,0,120,14,14,-1.77838173026218,0.07534118121168909,0.7534118121168909,ns
6,val,30,60,14,14,-3.5289036945150327,4.172849570536962e-4,0.004172849570536962,**
6,val,30,90,14,14,-2.799906483937585,0.005111741298422554,0.05111741298422554,ns
6,val,30,120,14,14,0.09286588669776415,0.9260101070686642,1,ns
6,val,60,90,14,14,0.7289972105774473,0.46600336877623433,1,ns
6,val,60,120,14,14,3.621769581212797,2.925946826864149e-4,0.002925946826864149,**
6,val,90,120,14,14,2.8927723706353494,0.003818579330603568,0.03818579330603568,*
