groups,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
2,val,0,30,14,14,1.727411288386871,0.08409382473149123,0.8409382473149123,ns
2,val,0,60,14,14,4.70858883447389,2.494376527210988e-6,2.494376527210988e-5,****
2,val,0,90,14,14,5.89734498992292,3.693970125911996e-9,3.693970125911996e-8,****
2,val,0,120,14,14,3.733437300707108,1.8888423016247318e-4,0.0018888423016247317,**
2,val,30,60,14,14,2.981177546087019,0.0028714226472743546,0.028714226472743545,*
2,val,30,90,14,14,4.169933701536048,3.04688263073135e-5,3.04688263073135e-4,***
2,val,30,120,14,14,2.006026012320237,0.04485347276407528,0.4485347276407528,ns
2,val,60,90,14,14,1.1887561554490298,0.23453563581731468,1,ns
2,val,60,120,14,14,-0.975151533766782,0.32948509909023693,1,ns
2,val,90,120,14,14,-2.1639076892158116,0.03047143469867658,0.3047143469867658,ns
3,val,0,30,14,14,2.498114208415251,0.01248559613633493,0.1248559613633493,ns
3,val,0,60,14,14,3.603227928866607,3.1428969927690736e-4,0.0031428969927690736,**
3,val,0,90,14,14,2.7117076165697145,0.006693760739097255,0.06693760739097254,ns
3,val,0,120,14,14,1.9594873530692116,0.05005573954840583,0.5005573954840583,ns
3,val,30,60,14,14,1.1051137204513561,0.269110316113645,1,ns
3,val,30,90,14,14,0.21359340815446326,0.830864140307544,1,ns
3,val,30,120,14,14,-0.5386268553460396,0.5901443532991965,1,ns
3,val,60,90,14,14,-0.8915203122968929,0.37265009943385163,1,ns
3,val,60,120,14,14,-1.6437405757973957,0.10022980073578588,1,ns
3,val,90,120,14,14,-0.7522202635005029,0.45191860969332276,1,ns
4,val,0,30,14,14,2.5168416956562707,0.011841201903776046,0.11841201903776047,ns
4,val,0,60,14,14,4.281417054234469,1.8570694372310955e-5,1.8570694372310956e-4,***
4,val,0,90,14,14,3.3526931812985747,8.002936984476393e-4,0.008002936984476393,**
4,val,0,120,14,14,2.0385489010942863,0.04149506951961693,0.4149506951961693,ns
4,val,30,60,14,14,1.764575358578198,0.07763515986689257,0.7763515986689257,ns
4,val,30,90,14,14,0.8358514856423043,0.40323845799470365,1,ns
4,val,30,120,14,14,-0.4782927945619844,0.6324418240947962,1,ns
4,val,60,90,14,14,-0.9287238729358938,0.35303220548623354,1,ns
4,val,60,120,14,14,-2.2428681531401824,0.024905317964019395,0.24905317964019397,ns
4,val,90,120,14,14,-1.3141442802042886,0.18879765525220865,1,ns
6,val,0,30,14,14,2.590935570717371,0.009571540949950375,0.09571540949950375,ns
6,val,0,60,14,14,5.915505227766902,3.3085839984334434e-9,3.3085839984334435e-8,****
6,val,0,90,14,14,5.228303678544373,1.7107235666044144e-7,1.7107235666044145e-6,****
6,val,0,120,14,14,2.1916157515745507,0.02840726360539699,0.28407263605396993,ns
6,val,30,60,14,14,3.3245696570495302,8.855510871561434e-4,0.008855510871561433,**
6,val,30,90,14,14,2.637368107827002,0.008355210959950794,0.08355210959950794,ns
6,val,30,120,14,14,-0.3993198191428204,0.6896575654977886,1,ns
6,val,60,90,14,14,-0.6872015492225284,0.4919557282403348,1,ns
6,val,60,120,14,14,-3.7238894761923507,1.9617683597644635e-4,0.0019617683597644635,**
6,val,90,120,14,14,-3.0366879269698224,0.0023919295450223095,0.023919295450223095,*
